Maatregelgroep;median;low;high
Workplace;-0.29975252831795235;-0.3364174620133711;-0.2799724794709105
Events;-0.1593706914500934;-0.17597899907716763;-0.13901097177653066
Masks;-0.10718507132902222;-0.12136153840037842;-0.09657752982771231
Sports;-0.09948780203372316;-0.10873775545011699;-0.08469594756194142
Outdoor;-0.09604812624062345;-0.12306816055778563;-0.01286913326946374
Daycare;-0.08271214298142943;-0.09359647178170524;-0.06710595227426126
Religion;-0.07057324747979107;-0.12175937746245266;0.0064046997740475325
Higher_Education;-0.06028908698803645;-0.07182548023261182;0.0
MassGatherAll;-0.052578396713500196;-0.0793166719839453;0.0
Secondary_Education;-0.038061248538342675;-0.11052694559596943;-0.014572329513173898
Restaurants_Cafes;-0.028186704674475656;-0.042399690511643044;-0.004947101764276181
Prikken;-3.177303355922549e-08;-4.416506587524487e-08;-2.760843698123111e-08
Transport;0.0;-0.21080684481064177;0.0
shiftdays;0.0;0.0;0.0
Indoor;0.0;-0.11492219143045025;0.0053016985085508886
alpha;0.000237;0.00023700000000000001;0.00023700000000000001
Telework;0.014504549482996534;0.002038368339595996;0.030769522127429668
Gatherings;0.019024678323937193;0.00023702989778691296;0.040859027365866774
Stayhome;0.02735067333109068;0.016040237290681617;0.03952063507821345
Primary_Education;0.03694227078991208;0.010270359900092495;0.048152908131332064
Entertainment;0.0510531972280308;0.03845737189379072;0.06690770370623479
Shops;0.0737441753558169;0.042761557441356936;0.10027811676898259
MassGather50;0.14254983224274226;0.12540662286268714;0.15589845132316466
RSS Test;0.7345119454563778;0.4356321357092713;1.773863448652961
R2 Training;0.7584758327503067;0.7483779228755599;0.7780502660045499
R2 Test;0.7603101437952389;0.4574073254234451;0.8342566295751699
Intercept;2.0174883566900883;1.9434904182119466;2.050265563727193
NVar Test;2.615762658857186;1.711776748610522;6.084209052990115
RSS Training;6.9729355784573865;5.94385368894082;7.175470661020187
Loglike Test;27.25931375906266;8.302054835101716;39.09994157330432
NVar Training;29.01299774658524;25.541690974930027;29.915157796769726
Test Sample Size;44.0;43.0;44.0
Loglike Training;235.14975130807784;229.21970956133626;266.3904525794925
Training Sample Size;393.0;393.0;394.0
